NAME,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,SchDistNam,ESC_CITY,ESC_REGION
Borden County ISD,17901,017-901,17901,4810860,Borden County ISD,Lubbock,17
Sands Consolidated ISD,58909,058-909,58909,4839120,Sands Consolidated ISD,Lubbock,17
Muleshoe ISD,9901,009-901,9901,4831890,Muleshoe ISD,Lubbock,17
Sudan ISD,140908,140-908,140908,4841760,Sudan ISD,Lubbock,17
Plainview ISD,95905,095-905,95905,4835070,Plainview ISD,Lubbock,17
Motley County ISD,173901,173-901,173901,4831500,Motley County ISD,Lubbock,17
Lockney ISD,77902,077-902,77902,4827890,Lockney ISD,Lubbock,17
Floydada ISD,77901,077-901,77901,4819440,Floydada ISD,Lubbock,17
Petersburg ISD,95904,095-904,95904,4834680,Petersburg ISD,Lubbock,17
Plains ISD,251902,251-902,251902,4835040,Plains ISD,Lubbock,17
Denver City ISD,251901,251-901,251901,4816770,Denver City ISD,Lubbock,17
Brownfield ISD,223901,223-901,223901,4811610,Brownfield ISD,Lubbock,17
Seagraves ISD,83901,083-901,83901,4839600,Seagraves ISD,Lubbock,17
Whitharral ISD,110908,110-908,110908,4845690,Whitharral ISD,Lubbock,17
Sundown ISD,110907,110-907,110907,4841850,Sundown ISD,Lubbock,17
Smyer ISD,110906,110-906,110906,4840590,Smyer ISD,Lubbock,17
Levelland ISD,110902,110-902,110902,4827240,Levelland ISD,Lubbock,17
Anton ISD,110901,110-901,110901,4808460,Anton ISD,Lubbock,17
Littlefield ISD,140904,140-904,140904,4827750,Littlefield ISD,Lubbock,17
Amherst ISD,140901,140-901,140901,4808160,Amherst ISD,Lubbock,17
Pecos-Barstow-Toyah ISD,195901,195-901,195901,4834550,Pecos-Barstow-Toyah ISD,Midland,18
Balmorhea ISD,195902,195-902,195902,4809330,Balmorhea ISD,Midland,18
Terrell County ISD,222901,222-901,222901,4842420,Terrell County ISD,Midland,18
Monahans-Wickett-Pyote ISD,238902,238-902,238902,4831170,Monahans-Wickett-Pyote ISD,Midland,18
Grandfalls-Royalty ISD,238904,238-904,238904,4821480,Grandfalls-Royalty ISD,Midland,18
Grady ISD,156905,156-905,156905,4821300,Grady ISD,Midland,18
Reagan County ISD,192901,192-901,192901,4836570,Reagan County ISD,Midland,18
Andrews ISD,2901,002-901,2901,4808280,Andrews ISD,Midland,18
Rankin ISD,231902,231-902,231902,4836510,Rankin ISD,Midland,18
McCamey ISD,231901,231-901,231901,4829700,McCamey ISD,Midland,18
Midland ISD,165901,165-901,165901,4830570,Midland ISD,Midland,18
Greenwood ISD,165902,165-902,165902,4821750,Greenwood ISD,Midland,18
Iraan-Sheffield ISD,186903,186-903,186903,4824330,Iraan-Sheffield ISD,Midland,18
Fort Stockton ISD,186902,186-902,186902,4820190,Fort Stockton ISD,Midland,18
Buena Vista ISD,186901,186-901,186901,4811910,Buena Vista ISD,Midland,18
Valentine ISD,122902,122-902,122902,4843740,Valentine ISD,Midland,18
Fort Davis ISD,122901,122-901,122901,4820100,Fort Davis ISD,Midland,18
Presidio ISD,189902,189-902,189902,4835800,Presidio ISD,Midland,18
Marfa ISD,189901,189-901,189901,4829040,Marfa ISD,Midland,18
Glasscock ISD,87901,087-901,87901,4820790,Glasscock ISD,Midland,18
Ector County ISD,68901,068-901,68901,4818000,Ector County ISD,Midland,18
Crane ISD,52901,052-901,52901,4815540,Crane ISD,Midland,18
Coahoma ISD,114902,114-902,114902,4814490,Coahoma ISD,Midland,18
Big Spring ISD,114901,114-901,114901,4810200,Big Spring ISD,Midland,18
Forsan ISD,114904,114-904,114904,4819620,Forsan ISD,Midland,18
Stanton ISD,156902,156-902,156902,4841430,Stanton ISD,Midland,18
Culberson County-Allamore ISD,55901,055-901,55901,4815990,Culberson County-Allamore ISD,Midland,18
Kermit ISD,248901,248-901,248901,4825560,Kermit ISD,Midland,18
Wink-Loving ISD,248902,248-902,248902,4846170,Wink-Loving ISD,Midland,18
Terlingua CSD,22004,022-004,22004,4842390,Terlingua CSD,Midland,18
San Vicente ISD,22903,022-903,22903,4839060,San Vicente ISD,Midland,18
Marathon ISD,22902,022-902,22902,4828980,Marathon ISD,Midland,18
Alpine ISD,22901,022-901,22901,4807950,Alpine ISD,Midland,18
Ysleta ISD,71905,071-905,71905,4846680,Ysleta ISD,El Paso,19
Tornillo ISD,71908,071-908,71908,4842990,Tornillo ISD,El Paso,19
San Elizario ISD,71904,071-904,71904,4838850,San Elizario ISD,El Paso,19
Fabens ISD,71903,071-903,71903,4818900,Fabens ISD,El Paso,19
Clint ISD,71901,071-901,71901,4814430,Clint ISD,El Paso,19
Canutillo ISD,71907,071-907,71907,4812780,Canutillo ISD,El Paso,19
Anthony ISD,71906,071-906,71906,4808430,Anthony ISD,El Paso,19
Sierra Blanca ISD,115902,115-902,115902,4840200,Sierra Blanca ISD,El Paso,19
Fort Hancock ISD,115901,115-901,115901,4820130,Fort Hancock ISD,El Paso,19
Dell City ISD,115903,115-903,115903,4816650,Dell City ISD,El Paso,19
Socorro ISD,71909,071-909,71909,4840710,Socorro ISD,El Paso,19
El Paso ISD,71902,071-902,71902,4818300,El Paso ISD,El Paso,19
Dilley ISD,82902,082-902,82902,4817100,Dilley ISD,San Antonio,20
Natalia ISD,163903,163-903,163903,4832130,Natalia ISD,San Antonio,20
D'Hanis ISD,163902,163-902,163902,4816140,D'Hanis ISD,San Antonio,20
Randolph Field ISD,15906,015-906,15906,4836450,Randolph Field ISD,San Antonio,20
Boerne ISD,130901,130-901,130901,4810710,Boerne ISD,San Antonio,20
Southside ISD,15917,015-917,15917,4840920,Southside ISD,San Antonio,20
Harlandale ISD,15904,015-904,15904,4822470,Harlandale ISD,San Antonio,20
East Central ISD,15911,015-911,15911,4817850,East Central ISD,San Antonio,20
Fort Sam Houston ISD,15914,015-914,15914,4820160,Fort Sam Houston ISD,San Antonio,20
North East ISD,15910,015-910,15910,4832940,North East ISD,San Antonio,20
Utopia ISD,232904,232-904,232904,4843680,Utopia ISD,San Antonio,20
Judson ISD,15916,015-916,15916,4824990,Judson ISD,San Antonio,20
Hunt ISD,133902,133-902,133902,4823970,Hunt ISD,San Antonio,20
Alamo Heights ISD,15901,015-901,15901,4807590,Alamo Heights ISD,San Antonio,20
Divide ISD,133905,133-905,133905,4817190,Divide ISD,San Antonio,20
Edgewood ISD (Bexar),15905,015-905,15905,4818150,Edgewood ISD (Bexar),San Antonio,20
South San Antonio ISD,15908,015-908,15908,4840680,South San Antonio ISD,San Antonio,20
San Antonio ISD,15907,015-907,15907,4838730,San Antonio ISD,San Antonio,20
Center Point ISD,133901,133-901,133901,4813350,Center Point ISD,San Antonio,20
Lackland ISD,15913,015-913,15913,4826370,Lackland ISD,San Antonio,20
Northside ISD (Bexar),15915,015-915,15915,4833120,Northside ISD (Bexar),San Antonio,20
Somerset ISD,15909,015-909,15909,4840740,Somerset ISD,San Antonio,20
Poteet ISD,7906,007-906,7906,4835520,Poteet ISD,San Antonio,20
Pleasanton ISD,7905,007-905,7905,4835190,Pleasanton ISD,San Antonio,20
Floresville ISD,247901,247-901,247901,4819350,Floresville ISD,San Antonio,20
Jourdanton ISD,7902,007-902,7902,4824960,Jourdanton ISD,San Antonio,20
Charlotte ISD,7901,007-901,7901,4813710,Charlotte ISD,San Antonio,20
Lytle ISD,7904,007-904,7904,4828650,Lytle ISD,San Antonio,20
Stockdale ISD,247906,247-906,247906,4841610,Stockdale ISD,San Antonio,20
Poth ISD,247904,247-904,247904,4835550,Poth ISD,San Antonio,20
La Pryor ISD,254902,254-902,254902,4826250,La Pryor ISD,San Antonio,20
Crystal City ISD,254901,254-901,254901,4815930,Crystal City ISD,San Antonio,20
Hondo ISD,163904,163-904,163904,4823430,Hondo ISD,San Antonio,20
Medina ISD,10901,010-901,10901,4830030,Medina ISD,San Antonio,20
Pearsall ISD,82903,082-903,82903,4834470,Pearsall ISD,San Antonio,20
Devine ISD,163901,163-901,163901,4816950,Devine ISD,San Antonio,20
Cotulla ISD,142901,142-901,142901,4815400,Cotulla ISD,San Antonio,20
Carrizo Springs Cons ISD,64903,064-903,64903,4812990,Carrizo Springs Cons ISD,San Antonio,20
Eagle Pass ISD,159901,159-901,159901,4817730,Eagle Pass ISD,San Antonio,20
Brackett ISD,136901,136-901,136901,4811070,Brackett ISD,San Antonio,20
Sabinal ISD,232902,232-902,232902,4838430,Sabinal ISD,San Antonio,20
Knippa ISD,232901,232-901,232901,4825800,Knippa ISD,San Antonio,20
Uvalde Cons ISD,232903,232-903,232903,4843720,Uvalde Cons ISD,San Antonio,20
Leakey ISD,193902,193-902,193902,4827000,Leakey ISD,San Antonio,20
La Vernia ISD,247903,247-903,247903,4826310,La Vernia ISD,San Antonio,20
Kerrville ISD,133903,133-903,133903,4825590,Kerrville ISD,San Antonio,20
Ingram ISD,133904,133-904,133904,4824210,Ingram ISD,San Antonio,20
Medina Valley ISD,163908,163-908,163908,4830060,Medina Valley ISD,San Antonio,20
Southwest ISD,15912,015-912,15912,4840950,Southwest ISD,San Antonio,20
Bandera ISD,10902,010-902,10902,4809360,Bandera ISD,San Antonio,20
